Class,rico:identifier,rico:hasRecordSetType,dcterms:title,dcterms:description,dcterms:dateInterv,dcterms:dateRaw,rico:hasCreatorRef,rico:hasCreatorNotRef,rico:hasReceiverRef,rico:hasReceiverNotRef,rico:hasPublisher,rico:isOrWasIncludedIn,rico:hasOrHadPhysicalLocation,crm:P44_has_condition,SOCIETES-DROP,INSTRUMENTS-DROP,DOC_ECRIT_DROP,rico:documents,dcterms:isVersionOf,rico:isDraftOf,rico:hasOrHadSubject,rico:hasDocumentaryFormType,rico:locationURI,rico:locationOS
rico:Record,F4.4.2/32,,,"Facture de C. Garnier, 2, cours Morand Lyon, commerce de vins fins à Augustin Seguin, 2, place Perrache, Lyon (1860,1 francs, achats d'alcool (Congés, cognac, médoc, quina, etc.))",,1895-04-25,,"C. Garnier, 2, cours Morand Lyon, commerce de vins fins",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/33,,,"Facture de David et Courtinat, 32, rue de la République, Lyon à Augustin Seguin, 2, Place Carnot, Lyon (131,75 francs, achat de cartes de visite, de sujets en bronze)",,,,"David et Courtinat, 32, rue de la République, Lyon",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/34,,,"Facture de Belle jardinière, 2, rue du Pont Neuf, Paris, Vêtements confectionnés à Augustin Seguin (3,25 francs)",1895-05-04/1895-05-24,,,"Belle jardinière, 2, rue du Pont Neuf, Paris, Vêtements confectionnés",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/35,,,"Facture de Moreteau frères, tailleur civil et militaire, 52, rue de la République, Lyon à Augustin Seguin, 2, Place Carnot, Lyon (85 francs)",1895-05-07/1895-05-23,,,"Moreteau frères, tailleur civil et militaire, 52, rue de la République, Lyon",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/36,,,"Facture de Madame Damien, repasseuse à Augustin Seguin (31 francs)",1895-05-17/1895-07-26,,,"Madame Damien, repasseuse",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/37,,,"Facture de Calley, 12, rue d'Auvergne, Lyon, porcelaine en tout genre à Augustin Seguin (8,15 francs)",,1895-05-27,,"Calley, 12, rue d'Auvergne, Lyon, porcelaine en tout genre",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/38,,,"Facture de Thiéry ainé et Sigrand, vêtements, 1, place des Jacobins, Lyon à Augustin Seguin (12 francs, achat d'un costume pour enfant)",,,,"Thiéry ainé et Sigrand, vêtements, 1, place des Jacobins, Lyon",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/39,,,"Facture à Pauline Seguin, née Consiglieri (23,5 francs, note du costume de la 1ère costume de Édouard Vaudaine : un complet en drap bleu foncé)",,1895-06-02,,,3947,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/4,,,"Facture de Grands magasins du Printemps, Paris à Pauline Seguin, née Consiglieri, Paris (95,45 francs)",,1895-01-04,,"Grands magasins du Printemps, Paris",3947,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/40,,,"Facture de Mademoiselle Coin, repasseuse à Pauline Seguin, née Consiglieri (143,55 francs)",1895-06-05/1895-06-11,,,"Mademoiselle Coin, repasseuse",3947,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/41,,,"Facture de Belle jardinière, 2, rue du Pont Neuf, Paris, Vêtements confectionnés à Pauline Seguin, née Consiglieri (42 francs)",,1895-06-10,,"Belle jardinière, 2, rue du Pont Neuf, Paris, Vêtements confectionnés",3947,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/42,,,"Facture de Belle jardinière, 2, rue du Pont Neuf, Paris, Vêtements confectionnés à Pauline Seguin, née Consiglieri (4,75 francs)",,1895-06-11,,"Belle jardinière, 2, rue du Pont Neuf, Paris, Vêtements confectionnés",3947,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/43,,,"Facture de Madame Gojon, robes et manteaux, 87, rue de l'Hotel de ville, Lyon à Pauline Seguin, née Consiglieri (331,2 francs)",,1895-06-16,,"Madame Gojon, robes et manteaux, 87, rue de l'Hotel de ville, Lyon",3947,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/44,,,"Facture de Thiéry ainé et Sigrand, vêtements, 1, place des Jacobins, Lyon à Augustin Seguin (50 francs, achat d'un costume)",,1895-06-21,,"Thiéry ainé et Sigrand, vêtements, 1, place des Jacobins, Lyon",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/45,,,"Facture de A. Zeïer, chaussures en tout genre, 33, rue Victor Hugo, Lyon ()",,1895-06-24,,"A. Zeïer, chaussures en tout genre, 33, rue Victor Hugo, Lyon",,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/46,,,"Facture de F. Auroux, 10, rue de Castries, Lyon, Eaux minérales naturelles à Augustin Seguin, 2, Place Carnot, Lyon (1,5 francs, achat de 10 verres de Couzon)",,1895-06-29,,"F. Auroux, 10, rue de Castries, Lyon, Eaux minérales naturelles",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/47,,,"Facture de Coulpier et Gayet, à la pensée, haute nouveauté pour dames, 26, rue de la Républiques à Pauline Seguin, née Consiglieri, Lyon (19,5 francs)",,,,"Coulpier et Gayet, à la pensée, haute nouveauté pour dames, 26, rue de la Républiques",3947,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/48,,,"Facture de Maison A. Chanite, mercerie, chemiserie et ganterie, 2, place Carnot à Augustin Seguin, 2, Place Carnot, Lyon (77,45 francs)",,1895-06-30,,"Maison A. Chanite, mercerie, chemiserie et ganterie, 2, place Carnot",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/49,,,"Facture de Huguet, 10, quai de l'est, chaussures sur commande à Augustin Seguin, Lyon (37,45 francs)",,,,"Huguet, 10, quai de l'est, chaussures sur commande",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/5,,,"Facture de Société de la Providence à Augustin Seguin, Varagnes (3,13 francs, pour hosties pour la chapelle du 10 avril 1894 au 5 janvier 1895)",,1895-01-03,,Société de la Providence,3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/50,,,"Facture de Joanny Kemler Jeune, coiffures, 5, place Carnot à Augustin Seguin, Lyon (40,45 francs)",1895-07-01/1895-07-04,,,"Joanny Kemler Jeune, coiffures, 5, place Carnot",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/51,,,"Facture de Henri Gondrand, 1 place Perrache, vins, huiles, etc. à Pauline Seguin, née Consiglieri, Lyon (65 francs, achats de chocolats, café, etc.)",1895-07-01/1895-07-04,,,"Henri Gondrand, 1 place Perrache, vins, huiles, etc.",3947,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/52,,,"Facture de Favel, fabrique de gants de peau, succursales à Lyon (94, rue de l'Hotel de ville, 4, rue de la République) à Pauline Seguin, née Consiglieri, Lyon (38,25 francs)",1895-07-01/1895-07-04,,,"Favel, fabrique de gants de peau, succursales à Lyon (94, rue de l'Hotel de ville, 4, rue de la République)",3947,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/53,,,"Facture de Belle jardinière, 2, rue du Pont Neuf, Paris, Vêtements confectionnés à Augustin Seguin, Lyon (41,65 francs)",,1895-07-01,,"Belle jardinière, 2, rue du Pont Neuf, Paris, Vêtements confectionnés",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/54,,,"Facture de Mademoiselle Coin, repasseuse à Pauline Seguin, née Consiglieri (136,9 francs)",1895-07-02/1895-07-04,,,"Mademoiselle Coin, repasseuse",3947,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/55,,,"Facture de Pouilly ainé, chapellerie à Augustin Seguin, Lyon (56 francs, achats d'alcool, de glace ; 2 feuilles)",,1895-07-05,,"Pouilly ainé, chapellerie",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/56,,,"Facture de Pouilly ainé, chapellerie à Augustin Seguin, Lyon (21,75 francs)",1895-07-10/1895-07-25,,,"Pouilly ainé, chapellerie",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/57,,,"Facture de Bonnefoy, 32, rue de la République, chapellerie de luxe à Pauline Seguin, née Consiglieri, 2, Place Carnot, Lyon (72 francs)",1895-07-15/1895-07-26,,,"Bonnefoy, 32, rue de la République, chapellerie de luxe",3947,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/58,,,"Facture de Belle jardinière, 2, rue du Pont Neuf, Paris, Vêtements confectionnés à Augustin Seguin, Lyon (10,71 francs)",,1895-07-19,,"Belle jardinière, 2, rue du Pont Neuf, Paris, Vêtements confectionnés",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/59,,,"Facture de Maison H. Gondrand, 1, place Carnot, Lyon, dépôt de chocolat à Pauline Seguin, née Consiglieri, Lyon (8,7 francs, achat de café)",,1895-07-25,,"Maison H. Gondrand, 1, place Carnot, Lyon, dépôt de chocolat",3947,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/6,,,"Facture de A. Zeïer, chaussures en tout genre, 33, rue Victor Hugo, Lyon à Augustin Seguin, 2, Place Carnot, Lyon (1 francs, pour réparation)",,1895-01-05,,"A. Zeïer, chaussures en tout genre, 33, rue Victor Hugo, Lyon",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/60,,,"Reçu de paiement de Madame Gojon, robes et manteaux, 87, rue de l'Hotel de ville, Lyon à Pauline Seguin, née Consiglieri (331 francs)",,1895-07-25,,"Madame Gojon, robes et manteaux, 87, rue de l'Hotel de ville, Lyon",3947,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/61,,,"Facture à Augustin Seguin, Lyon (1,6 francs, achat de sel)",,1895-07-27,,,3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/62,,,"Facture de Madame Damien, repasseuse à Augustin Seguin (14 francs, pour réparation d'un lit et 2 matelas)",,1895-07-29,,"Madame Damien, repasseuse",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/63,,,"Facture de Au corset d'or, 15, rue de Victor Hugo, Lyon, corsets et brassières à Pauline Seguin, née Consiglieri, Lyon (66,55 francs)",1895-12/1895-12-16,,,"Au corset d'or, 15, rue de Victor Hugo, Lyon, corsets et brassières",3947,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/64,,,"Facture de Maison Crémieux, 83, rue de la République Lyon, tailleur à Augustin Seguin, Lyon (95 francs)",1895-08-27/1895-08-30,,,"Maison Crémieux, 83, rue de la République Lyon, tailleur",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/65,,,"Facture de Morel boucher à Boulieu à Augustin Seguin (324,6 francs)",,1895-09-02,,Morel boucher à Boulieu,3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/66,,,"Facture de J.J. Chapuis, 12, rue st Michel, Annonay à Augustin Seguin, Varagnes (64,6 francs, achat de vin rouge)",,1895-09-14,,"J.J. Chapuis, 12, rue st Michel, Annonay",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/67,,,"Facture de G. Seguin, huilerie et savonnerie, Marseille à Augustin Seguin, Varagnes (50,6 francs)",,1895-09-20,,"G. Seguin, huilerie et savonnerie, Marseille",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/68,,,"Facture de Wattebled et Cie, place de la Bourse, Lyon à Augustin Seguin, 2, Place Carnot, Lyon (33,85 francs, achat d'une pate)",1895-09-30/1896-01-08,,,"Wattebled et Cie, place de la Bourse, Lyon",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/69,,,"Facture de J. Haut, fabrique de chaussure, Annonay à Augustin Seguin, Varagnes (22,95 francs, recemelage de chaussures)",1895-10-02/1896-01-18,,,"J. Haut, fabrique de chaussure, Annonay",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/7,,,"Facture de Dumond, 2, rue St Dominique à Augustin Seguin, Lyon (440,7 francs)",1895-01-08/1895-02-12,,,"Dumond, 2, rue St Dominique",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/70,,,"Facture de S.Gleyre, 10, rue de la République, Lyon à Pauline Seguin, née Consiglieri, Lyon (63 francs)",1895-10-08/1895-12-17,,,"S.Gleyre, 10, rue de la République, Lyon",3947,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/71,,,"Facture de A. Matton fils, papeterie, imprimerie commerciale et administrative, 9, rue de Tournon, Lyon à Augustin Seguin, Lyon (2,8 francs, achat de dossiers et de brochures cartons lustrés)",1895-10-11/1895-10-12,,,"A. Matton fils, papeterie, imprimerie commerciale et administrative, 9, rue de Tournon, Lyon",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/72,,,"Facture de Bernard, confiseur, 35, rue de Bourbon Lyon à Pauline Seguin, née Consiglieri (184 francs, achats de glaces, de sucreries, de chocolat, etc.)",1895-10-01/1896-01-08,,,"Bernard, confiseur, 35, rue de Bourbon Lyon",3947,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/73,,,"Facture de Madame Damien, repasseuse à Augustin Seguin (22,25 francs)",,1895-10-01,,"Madame Damien, repasseuse",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/74,,,"Facture de Thomasset et Dupré, 7, rue de Montgolfier, Annonay, bonneterie à Pauline Seguin, née Consiglieri (17,4 francs)",,1895-10-01,,"Thomasset et Dupré, 7, rue de Montgolfier, Annonay, bonneterie",3947,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/75,,,"Facture de Colomby, chaussures en tous genres, 7, rue de l'Hotel de ville, lyon à Augustin Seguin, Annonay (30,4 francs)",,1895-10-01,,"Colomby, chaussures en tous genres, 7, rue de l'Hotel de ville, lyon",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/76,,,"Facture de Belle jardinière, 2, rue du Pont Neuf, Paris, Vêtements confectionnés, Lyon (92 francs, achats de pardessus et de costume)",,1895-11-06,,"Belle jardinière, 2, rue du Pont Neuf, Paris, Vêtements confectionnés",,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/77,,,"Facture de Dupré-Gaud, grande épicerie centrale, rue Boissy d'Anglas à Augustin Seguin, Annonay (9,9 francs, achat d'huile)",,1895-11-09,,"Dupré-Gaud, grande épicerie centrale, rue Boissy d'Anglas",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/78,,,"Facture de Vve Jacquemet-Bonnefont et Graillat, établissement horticole, Annonay à Augustin Seguin, Varagnes (36,85 francs, achat de fruits)",1895-11-11/1895-12-11,,,"Vve Jacquemet-Bonnefont et Graillat, établissement horticole, Annonay",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/79,,,"Facture de Poupy jeune, 46, rue Victor Hugo, Lyon, fabrique de parapluies et cfannes à main à Augustin Seguin, Lyon (42 francs, achats de parapluies)",1895-11-19/1896-02-04,,,"Poupy jeune, 46, rue Victor Hugo, Lyon, fabrique de parapluies et cfannes à main",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/8,,,"Facture de Vve Burlet, 8, place de la Miséricorde, huiles épuration et savons à Augustin Seguin, 2, Place Carnot, Lyon (84,8 francs)",1895-01-09/1895-05-24,,,"Vve Burlet, 8, place de la Miséricorde, huiles épuration et savons",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/80,,,"Facture de A. Matton fils, papeterie, imprimerie commerciale et administrative, 9, rue de Tournon, Lyon à Augustin Seguin, Lyon (16,25 francs)",,1895-11-30,,"A. Matton fils, papeterie, imprimerie commerciale et administrative, 9, rue de Tournon, Lyon",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/81,,,"Facture de Maison H. Gondrand, 1, place Carnot, Lyon, dépôt de chocolat à Pauline Seguin, née Consiglieri, Lyon (27,2 francs, achats de chocolat, café, berlingots, etc.)",,1895-12-01,,"Maison H. Gondrand, 1, place Carnot, Lyon, dépôt de chocolat",3947,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/82,,,"Facture de E. Parenteau ainé et louis Lagrolet, vins et spiritueux, Bordeaux à Augustin Seguin, Lyon (51,6 francs, sur une même feuille, facture d'achat de 12 bouteilles de champagne datée du 5 novembre 1895 et mandat de paiement daté du 5 décembre 1895.)",,1895-12-05,,"E. Parenteau ainé et louis Lagrolet, vins et spiritueux, Bordeaux",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/83,,,"Facture de Benoît Cussac, Oranges et marrons, 27, quai de Bondy, Lyon à Augustin Seguin, Lyon (144 francs)",1895-12-06/1896-01-10,,,"Benoît Cussac, Oranges et marrons, 27, quai de Bondy, Lyon",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/84,,,"Facture de Benoît Cussac, Oranges et marrons, 27, quai de Bondy, Lyon à Augustin Seguin, Lyon (128 francs, achat de fromage)",1895-12-07/1896-01-10,,,"Benoît Cussac, Oranges et marrons, 27, quai de Bondy, Lyon",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/85,,,"Facture de Jabin et Rouchon, 26, rue Grenette, Lyon à Augustin Seguin, 2, place Perrache, Lyon (236 francs, achat de riz et de haricots)",1895-12-07/1896-01-10,,,"Jabin et Rouchon, 26, rue Grenette, Lyon",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/86,,,"Facture de A. Duret-Laissu, corsets et jupons, Lyon à Pauline Seguin, née Consiglieri, Lyon (50 francs)",1895-12-10/1896-02-03,,,"A. Duret-Laissu, corsets et jupons, Lyon",3947,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/87,,,"Facture de Veuve Royer, Bulliod et Cie, 81, rue de la République à Augustin Seguin, 2, Place Carnot, Lyon (15 francs, achat d'un plateau de cristal et de verres)",1895-12-14/1896-01-10,,,"Veuve Royer, Bulliod et Cie, 81, rue de la République",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/88,,,"Facture de Madame Gojon, robes et manteaux, 87, rue de l'Hotel de ville, Lyon à Pauline Seguin, née Consiglieri (788 francs)",1895-12-17/1896-01-09,,,"Madame Gojon, robes et manteaux, 87, rue de l'Hotel de ville, Lyon",3947,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/89,,,"Facture de C. Gervais et Cie, meubles en bois courbe, rue de l'Hotel de ville, Lyon à Pauline Seguin, née Consiglieri, 2, Place Carnot, Lyon (34,25 francs, achat de fauteuilles de poupées et d'un chiffonier)",1895-12-21/1896-01-18,,,"C. Gervais et Cie, meubles en bois courbe, rue de l'Hotel de ville, Lyon",3947,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/9,,,"Facture de Maison A. Chanite, mercerie, chemiserie et ganterie, 2, place Carnot à Pauline Seguin, née Consiglieri, 2, Place Carnot, Lyon (49,3 francs, pour achats de mercerie)",1895-01-11/1895-01-14,,,"Maison A. Chanite, mercerie, chemiserie et ganterie, 2, place Carnot",3947,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/90,,,"Facture de Mme Vve Borgal, 69, rue de l'Hôtel de ville, chapeaux fantaise, poupée à Pauline Seguin, née Consiglieri (19 francs, achat de jouets)",,1895-12-22,,"Mme Vve Borgal, 69, rue de l'Hôtel de ville, chapeaux fantaise, poupée",3947,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/91,,,"Facture de Calley, 12, rue d'Auvergne, Lyon, porcelaine en tout genre à Augustin Seguin, 2, Place Carnot, Lyon (9 francs)",,1895-12-24,,"Calley, 12, rue d'Auvergne, Lyon, porcelaine en tout genre",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/92,,,"Facture de Maison A. Chanite, mercerie, chemiserie et ganterie, 2, place Carnot à Augustin Seguin, 2, Place Carnot, Lyon (41,05 francs)",,1895-12-27,,"Maison A. Chanite, mercerie, chemiserie et ganterie, 2, place Carnot",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/93,,,"Facture de Société de la Providence à Pauline Seguin, née Consiglieri (17,5 francs)",,1895-12-27,,Société de la Providence,3947,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/94,,,"Facture de Genthon-cholat, épicerie fine, Grande-rue, Annonay à Augustin Seguin, Varagnes (10,15 francs)",1895-12-31/1896-01-18,,,"Genthon-cholat, épicerie fine, Grande-rue, Annonay",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/95,,,"Facture de Fleury Seux, Services de table, faïences porcelaines, Annonay à Augustin Seguin, Varagnes (2,5 francs)",,1895-12-31,,"Fleury Seux, Services de table, faïences porcelaines, Annonay",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/96,,,"Facture de Coulpier et Gayet, à la pensée, haute nouveauté pour dames, 26, rue de la Républiques à Pauline Seguin, née Consiglieri, Lyon (13,4 francs)",1895-12-31/1896-03-06,,,"Coulpier et Gayet, à la pensée, haute nouveauté pour dames, 26, rue de la Républiques",3947,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/97,,,"Facture de Blanchon, 15, rue saint-Pierre, bonneterie, ganterie à Pauline Seguin, née Consiglieri (18 francs)",1895-12-31/1896-03-06,,,"Blanchon, 15, rue saint-Pierre, bonneterie, ganterie",3947,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/98,,,"Facture de D. Paillet, fabrique d'articles de Dévotion, 7, place des Jacobins, lyon à Pauline Seguin, née Consiglieri, 2, Place Carnot, Lyon (46 francs, achats de chapelet, de chaîne en or, de gravure)",1895-12-31/1896-01-17,,,"D. Paillet, fabrique d'articles de Dévotion, 7, place des Jacobins, lyon",3947,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/99,,,"Facture de F. Veyret, au petit poucet, chaussures sur commande, 28, rue de la République, Lyon à Pauline Seguin, née Consiglieri, 2, Place Carnot, Lyon (36 francs)",1895-12-31/1896-01-08,,,"F. Veyret, au petit poucet, chaussures sur commande, 28, rue de la République, Lyon",3947,,,F4.4.2,,,,,,,,,,,,
rico:RecordSet,F4.4.3,Sous-dossier d'archives,,Comptes et notes isolées,1894/1895,,,,,,,F4.4,,,,,,,,,,,,
rico:Record,F4.4.3/1,,,Facture de Bouniol à Augustin Seguin (21 francs),,1895-07-04,,Bouniol,3955,,,F4.4.3,,,,,,,,,,,,
rico:Record,F4.4.3/2,,,"Comptes (352,7 francs)",,,,,,,,F4.4.3,,,,,,,,,,,,
rico:Record,F4.4.3/3,,,"Comptes (426,55 francs)",,,,,,,,F4.4.3,,,,,,,,,,,,
rico:Record,F4.4.3/4,,,"Comptes de ""Compte du lait 1894-1895"" (1078 litres francs, compte de novembre 1894 à octobre 1895)",,1894-11,,,,,,F4.4.3,,,,,,,,,,,,
rico:Record,F4.4.3/5,,,"Comptes de ""Règlement avec Jules"" (1704,9 francs)",,,,,,,,F4.4.3,,,,,,,,,,,,
rico:Record,F4.4.3/6,,,"Facture de ""Compte pour Monsieur Seguin"" (79,6 francs)",1895-03/1895-07-03,,,,,,,F4.4.3,,,,,,,,,,,,
rico:RecordSet,F4.5,Dossier d'archives,,Factures de 1896 (1),1895/1898,,,,,,,F4,,,,,,,,,,,,
rico:RecordSet,F4.5.1,Sous-dossier d'archives,,École,1895/1898,,,,,,,F4.5,,,,,,,,,,,,
rico:Record,F4.5.1/1,,,"Facture de Mesdemoiselles Champalay, institutrices à Augustin Seguin (200 francs, pour une demi-année de cours supérieur)",,1896-03-14,,"Mesdemoiselles Champalay, institutrices",3955,,,F4.5.1,,,,,,,,,,,,
rico:Record,F4.5.1/10,,,"Facture de A. Blanc, professeur de piano à Augustin Seguin (88,5 francs, pour 28 leçons de piano à Mademoiselle Seguin, musique fournie)",,1896-08-06,,"A. Blanc, professeur de piano",3955,,,F4.5.1,,,,,,,,,,,,
rico:Record,F4.5.1/11,,,"Reçu de paiement de Écoles libres de Saint-Denis à Augustin Seguin (100 francs, pour 5/5 de sa souscription)",1896-10-03/1898-01-01,,,Écoles libres de Saint-Denis,3955,,,F4.5.1,,,,,,,,,,,,
