Class,rico:identifier,rico:hasRecordSetType,dcterms:title,dcterms:description,dcterms:dateInterv,dcterms:dateRaw,rico:hasCreatorRef,rico:hasCreatorNotRef,rico:hasReceiverRef,rico:hasReceiverNotRef,rico:hasPublisher,rico:isOrWasIncludedIn,rico:hasOrHadPhysicalLocation,crm:P44_has_condition,SOCIETES-DROP,INSTRUMENTS-DROP,DOC_ECRIT_DROP,rico:documents,dcterms:isVersionOf,rico:isDraftOf,rico:hasOrHadSubject,rico:hasDocumentaryFormType,rico:locationURI,rico:locationOS
rico:RecordSet,B13.1,Dossier d'archives,,Correspondance active des Mangini entre eux (1856-années1870),1856/1900,,,,,,,B13,,,,,,,,,,,,
rico:RecordSet,B13.1.1,Sous-dossier d'archives,,Lettres de Félix et Lucien Mangini à leur famille,1856/1870,,,,,,,B13.1,,,,,,,,,,,,
rico:Record,B13.1.1/1,,,"Lettre de Félix Mangini à son père Lazare Mangini à propos de l'arrivée de sa mère, de Marie et Félicie, de la fin de sa maladie, de la carrière qu'il souhaiterait mener : il souhaite continuer quelques années d'études, en suivant des cours à Centrale sans y entrer pour autant, avant de reprendre les affaires de son père",,1856-10-15,3933,,3935,,,B13.1.1,,,,,,,,,,Correspondance,https://sws.geonames.org/2996944/ Lyon,
rico:Record,B13.1.1/10,,,Lettre de Lucien Mangini à sa mère à propos de son arrivée prochaine auprès de sa mère,,1858-04-21,3936,,3934,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/11,,,Lettre de Félix Mangini à sa mère à propos des conséquences de la tentative d'incendie et de ses cours,,1858-04-28,3933,,3934,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/12,,,Lettre de Lucien Mangini à sa mère à propos d'un voyage prochain,,1858-04-29,3936,,3934,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/13,,,"Lettre de Lucien Mangini à sa mère sur la dernière lettre de sa mère très sévère, sur l'état de Félicie, sur un accident de grisou",,1858-07-31,3936,,3934,,,B13.1.1,,,,,,,,,,Correspondance,https://sws.geonames.org/2992838/ Site minier de Longpendu (Montchanin),
rico:Record,B13.1.1/14,,,"Lettre de Lucien Mangini à sa mère à propos des maladies qui sévissent à la mine, de ses maux de tête et des sangsues qu'il a dû s'appliquer pour guérir",,1858-08-12,3936,,3934,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/15,,,Lettre de Lucien Mangini à félix à propos d'un oubli de lettre dans un enveloppe où il lui envoie un prospectus,,1858-10-28,3936,,3935,,,B13.1.1,,,,,,,,,,Correspondance,https://sws.geonames.org/2992838/ Site minier de Longpendu (Montchanin),
rico:Record,B13.1.1/16,,,"Lettre de Félix Mangini à sa mère à propos de la santé de Lazare, de sa vie uniforme, de sa vie étudiante",,1858-11-28,3933,,3934,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/17,,,"Lettre de Félix Mangini à sa mère à propos de la tristesse de sa mère, du rétablissement de Vctor, de ses cours de métallurgie dont il souhaiterait discuter avec Lucien",,1858-12-05,3933,,3934,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/18,,,"Lettre de Félix Mangini à M. Four à propos de ces ressources qui arrivent à cours, de la maladie de son père, de dépenses à combler pour lui et Henri",,1858-12-08,3933,,,M. Four,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/19,,,Lettre de Félix Mangini à sa mère à propos de la tristesse continuelle de sa mère et de ses cours,,1858-12-12,3933,,3934,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/2,,,"Lettre d'affaire de Félix Mangini à Lazare Mangini à propos d'une lettre de M. Pitiot et le fait que la dépêche télégraphique de Lazare à M. Protche ""a été regardée comme un oui"" et du départ de m. Four (?)",,1857-06-16,3933,,3935,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/20,,,"Lettre de Félix Mangini à sa mère à propos du départ de son père, de la fin de son service militaire, de la femme de ménage peu efficace et du rhume de Marie",,1858-12-19,3933,,3934,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/21,,,Lettre de Félix Mangini à son père à propos de son absence le jour de l'an,,1858-12-30,3933,,3934,,,B13.1.1,,,,,,,,,,Correspondance,https://sws.geonames.org/2988507/ Paris,
rico:Record,B13.1.1/22,,,"Lettre de Félix Mangini à sa mère à propos de l'arrivée de Lucien, de la santé de Marie et de son père, de la commande d'un pardessus, d'un voyage à Lyon",,1859-01-19,3933,,3934,,,B13.1.1,,,,,,,,,,Correspondance,https://sws.geonames.org/2988507/ Paris,
rico:Record,B13.1.1/23,,,"Lettre de Félix Mangini à sa mère à propos du séjour de Lucien chez lui, d'une soirée au théâtre, d'un portrait photographique qu'il fera réaliser chez Mayer et Pierson de son frère et d'un paletot qui lui a été dérobé à l'école",,1859-02-01,3933,,3934,,,B13.1.1,,,,,,,,,,Correspondance,https://sws.geonames.org/2988507/ Paris,
rico:Record,B13.1.1/24,,,Lettre de Félix Mangini à sa mère à propos du départ de Lucienpour longpendu puis Cassis pour voir leur père,,1859-02-06,3933,,3934,,,B13.1.1,,,,,,,,,,Correspondance,https://sws.geonames.org/2988507/ Paris,
rico:Record,B13.1.1/25,,,"Lettre de Lucien Mangini à sa mère à propos de Félix, de Marie, de son séjour à Longpendu",,1859-02-09,3936,,3934,,,B13.1.1,,,,,,,,,,Correspondance,https://sws.geonames.org/2992838/ Site minier de Longpendu (Montchanin),
rico:Record,B13.1.1/26,,,Lettre de Lucien Mangini à sa mère à propos de son voyage repoussé,,1859-02-18,3936,,3934,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/27,,,"Lettre de Félix Mangini à sa mère à propos du départ retardé de son frère pour Lyon, de son retour prochain pour les vacances, des difficultés de lucien avec les affaires du charbon, la fin de l'affaire de son paletot volé",,1859-02-20,3933,,3934,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/28,,,"Lettre de Lucien Mangini à sa mère à propos de son arrivée auprès de son père en bonne santé, des malaises de sa mère et des réparations à faire dans leur logement",,1859-02-23,3936,,3934,,,B13.1.1,,,,,,,,,,Correspondance,https://sws.geonames.org/3028431/ Cassis,
rico:Record,B13.1.1/29,,,Lettre de Lucien Mangini à sa mère à propos de sa vie quotidienne avec son père,,1859-03-01,3936,,3934,,,B13.1.1,,,,,,,,,,Correspondance,https://sws.geonames.org/3028431/ Bregadan (Cassis),
rico:Record,B13.1.1/3,,,"Lettre de Félix Mangini à sa soeur Félicie à propos d'un voyage à Évian, des maladies des uns et des autres, et des travaux qu'il fait à paris, en decsendant dans les catacombes",,1857-07-27,3933,,3949,,,B13.1.1,,,,,,,,,,Correspondance,https://sws.geonames.org/2988507/ Paris,
rico:Record,B13.1.1/30,,,"Lettre de Félix Mangini à sa mère à propos du chapeau de Félicie qu'il achète pour elle, d'Henri, de leurs examens",,1859-03-01,3933,,3934,,,B13.1.1,,,,,,,,,,Correspondance,https://sws.geonames.org/2988507/ Paris,
rico:Record,B13.1.1/31,,,"Lettre de Félix Mangini à sa mère à propos du chapeau qu'il doit commander pour sa mère, de la robe de Félicie et de ses cours",,1859-03-12,3933,,3934,,,B13.1.1,,,,,,,,,,Correspondance,https://sws.geonames.org/2988507/ Paris,
rico:Record,B13.1.1/32,,,"Lettre de Lucien Mangini à sa mère à propos d'un petit pot que lui envoie sa mère, de son prochain voyage à Lyon",,1859-03-19,3936,,3934,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/33,,,Lettre de Félix Mangini à sa mère à propos de sa vie à l'école,,1859-03-30,3933,,3934,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/34,,,"Lettre de Félix Mangini à son père à propos des creusements miniers (?), de la recommandation de Desgrand qui souhaiterait placer un ami comptable",,1859-04-08,3936,,3935,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/35,,,Lettre de Félix Mangini à son père et à sa mère à propos de l'arrivée de Lazare à Cassis et de son travail,,1859-04-19,3933,,3935;3934,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/36,,,"Lettre de Félix Mangini à son père à propos des creusements miniers (?), de la recommandation de Desgrand qui souhaiterait placer un ami comptable",,1859-04-26,3933,,3935,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/37,,,Lettre de Félix Mangini à son père propos du creusement dans l'exploitation,,1859-05-05,3933,,3935,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/38,,,"Lettre de Félix Mangini à son père propos du laboratoire de chimie, des visites des usines de Vierzon et de Forchambault, de la fin des cours de l'école + enveloppe avec sceau",,1859-06-12,3933,,3935,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/39,,,Lettre de Lucien Mangini à son père à propos d'une tentative de vol et d'incendie dans leurs bureaux de l'exploitation houillère de Longpendu et de l'altercation qui y a eu lieu entre un M. Bailleux (?) et un ouvrier,,1859-06-25,3936,,3935,,,B13.1.1,,,,,,,,,,Correspondance,https://sws.geonames.org/2992838/ Site minier de Longpendu (Montchanin),
rico:Record,B13.1.1/4,,,"Lettre de Félix Mangini à son père à propos de son voyage, de l'état du terrain houiller à son retour, des fièvres des ouvriers",,1857-08-06,3933,,3935,,,B13.1.1,,,,,,,,,,Correspondance,https://sws.geonames.org/2992838/ Site minier de Longpendu (Montchanin),
rico:Record,B13.1.1/40,,,Lettre de Lucien Mangini à son père à propos de la reprise des affaires du charbon,,1859-06-27,3933,,3935,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/41,,,"Lettre de Félix Mangini à son père à propos de la maladie de son père, de celle de Félicie au gosier, du départ prochain de lazare pour Sainte-Foy, du déjour chez lui de Victor, de l'école",,1859-06-30,3933,,3935,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/42,,,"Lettre de Félix Mangini à son père à propos de la fin de ses cours de levé de plan de la gare de Lyon, du séjour de Lazare à Vichy et de la maladi d'Henri",,1859-08-21,3933,,3935,,,B13.1.1,,,,,,,,,,Correspondance,https://sws.geonames.org/2988507/ Paris,
rico:Record,B13.1.1/43,,,"Lettre de Lucien Mangini à Lazare Mangini à propos du départ de Lazare pour les eaux de Vichy, du manque d'ouvriers du fait de la chaleur et de l'avancée des travaux de la grande et la petite ligne",,1861-06-21,3936,,3935,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/44,,,Lettre de Félix Mangini à son père à propos de son angine,,1861-07-01,3933,,3935,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/45,,,"Lettre de Félix Mangini à son père à propos du départ prochain de sa mère à Cannes, des travaux à la mine",,1861-11-19,3933,,3935,,,B13.1.1,,,,,,,,,,Correspondance,https://sws.geonames.org/2992838/ Site minier de Longpendu (Montchanin),
rico:Record,B13.1.1/46,,,"Lettre de Félix Mangini à Paula à propos de la distance entre frères et seours depuis leur mariage, de la maladie de Lazare qui ne parle toujours pas",,1868-11-04,3933,,3952,,,B13.1.1,,,,,,,,,,Correspondance,https://sws.geonames.org/2996944/ Lyon,
rico:Record,B13.1.1/47,,,"Lettre de Félix Mangini à Paula à propos de son travail, de son départ prochain de Paris",,1869-04-16,3933,,3952,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/48,,,Lettre de Félix Mangini à Paula à propos d'un contretemps postal,,1869-04-17,3933,,3952,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/49,,,"Lettre de Félix Mangini à Paula à propos de l'absence de nouvelles de Paula à Varagnes, proposition d'un voyage à Paris tous les deux",,1869-06-07,3933,,3952,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/5,,,Lettre de Félix Mangini à sa mère à propos de la maladie de Lazare,,1858-01-07,3933,,3934,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/50,,,"Lettre de Félix Mangini à Paula à propos de son voyage, de ses affaires au ministère des Travaux publics, de l'arrivée de Paula",,1869-07-06,3933,,3952,,,B13.1.1,,,,,,,,,,Correspondance,https://sws.geonames.org/2988507/ Paris,
rico:Record,B13.1.1/51,,,"Lettre de Félix Mangini à Paula à propos de son accord avec M. de Francheville pour la rédaction du cahier des charges pour le ministre, de son départ prochain pour Lyon pour y retrouver paula qui est à Varagnes, de ses visites au Louvre",,1869-07-09,3933,,3952,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/52,,,Lettre de Félix Mangini à Paula à propos de la venue de Lucien à Lyon,,1869-07-01,3933,,3952,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/53,,,"Lettre de Félix Mangini à Paula à propos de son séjour rolongé à Varagnes, de l'état du pays ""dans lequel on subordonne tout à la piolitique"", réflexions sur la politique et prévision de son retour prochain à Lyon",,1869-07-01,3933,,3952,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/54,,,Lettre de Félix Mangini à Paula à propos d'une migraine de Paula qui l'empêche de reprendre ses leçons,,1869-07-12,3933,,3952,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/55,,,Lettre de Félix Mangini à Paula à propos de son absence à lyon alors qu'il l'y attendait,,1869-07-14,3933,,3952,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/56,,,Lettre de Félix Mangini à Paula à propos de l'absence de nouvelles de Paula et d'une confusion postale,,1869-07-15,3933,,3952,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/57,,,Lettre de Félix Mangini à sa mère à propos de son départ pourParis concernant une formalité à accomplir pour les chemins de fer de Montbrison,,1869-09-27,3933,,3934,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/58,,,"Lettre de Félix Mangini à Paula à propos de son arrivée à Paris, de l'impossibilité pour lui de faire une tournée électorale, l'oubli de la commission que Paula lui avait demandé de faire, d'un voyage aux bains de mer de Paula et Louise",,1869-09-28,3933,,3952,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/59,,,Lettre de Félix Mangini à Paula à propos de son inutile séjour à Paris,,1869-09-30,3933,,3952,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/6,,,Lettre de Félix Mangini à sa mère à propos de la journée qu'il a passé avec M. Balaÿ et de mardi gras,,1858-02-09,,,,,,B13.1.1,,,,,,,,,,Correspondance,https://sws.geonames.org/2988507/ Paris,
rico:Record,B13.1.1/60,,,"Lettre de Félix Mangini à Paula à propos d'Étienne installé au collège, d'un de ses employés professeur de mathématiques à Centrale qui donne des cours à Étienne, des nouvelles de la Pérolière, de son mal de tête",,1869-10-20,3933,,3952,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/61,,,"Lettre de Félix Mangini à Paula à propos du froid de la nuit, de la visite qu'il rend au ministre le lendemain, sur leur tendance familiale à se garder loin du monde",,1870-01-24,3933,,3952,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/62,,,"Lettre de Félix Mangini à son père à propos de nouvelles de la mine qu'il fait transiter par M. de Chatelus (?), de la fièvre des ouvriers",,,3933,,3935,,,B13.1.1,,,,,,,,,,Correspondance,https://sws.geonames.org/2992838/ Site minier de Longpendu (Montchanin),
rico:Record,B13.1.1/63,,,"Lettre de Lucien Mangini à son père à propos des travaux de la pompe, de la gestion des puits",,,3936,,3935,,,B13.1.1,,,,,,,,,,Correspondance,https://sws.geonames.org/2992838/ Site minier de Longpendu (Montchanin),
rico:Record,B13.1.1/64,,,"Lettre de Félix Mangini à Paula à propos de la guerre : le corps législatif est convoqué le lndemain, Lucien et lui son affectés",,1870,3933,,3952,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/65,,,"Lettre de Félix Mangini à Paula à propos des nouvelles reçues sur la santé de ses parents à la Pérolière, de son prochain voyage pour Annonay",,,3933,,3952,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/66,,,Lettre de Félix Mangini à Paula à propos de bonnes nouvelles concernant les enfants et de la hâte qu'il a de la revoir,,,3933,,3952,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/67,,,Lettre de Félix Mangini à Paula à propos du peu de temps qu'il a eu dans la journée pour lui écrire,,,3933,,3952,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/68,,,"Lettre de Félix Mangini à Paula à propos de ne pas l'avoir trouvée à la gare, de la santé des uns et des autres, de la présence des enfants",,,3933,,3952,,,B13.1.1,,,,,,,,,,Correspondance,https://sws.geonames.org/2996944/ Lyon,
rico:Record,B13.1.1/69,,,"Lettre de Félix Mangini à Paula qui commence par ""Ne laisse pas traîner ma lettre, pour plus de sûreté, brûle la"" à propos des difficultés qu'il rencontre avec le ministère et du fait que Paula lui manque et qu'elle devrait faire attention à sa santé avant d'envisager un séjour dans le Berry",,,3933,,3952,,,B13.1.1,,,,,,,,,,Correspondance,https://sws.geonames.org/2988507/ Paris,
rico:Record,B13.1.1/7,,,"Lettre de Lucien Mangini à sa mère à propos de sa lettre écrite à Sainte-Foy, de la nécessité de sa présence à la mine, de sa correspondance avec ses soeurs avant le mariage de Marie",,1858-03-20,3936,,3934,,,B13.1.1,,,,,,,,,,Correspondance,https://sws.geonames.org/2992838/ Site minier de Longpendu (Montchanin),
rico:Record,B13.1.1/70,,,Lettre de Félix Mangini,,,3933,,3952,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/71,,,Lettre de Félix Mangini à Paula à propos du mal de tête de Paula,,,3933,,3952,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/8,,,Lettre de Lucien Mangini à sa mère à propos de son départ précipité auprès de son père,,1858-04-01,,,,,,B13.1.1,,,,,,,,,,Correspondance,,
rico:Record,B13.1.1/9,,,"Lettre de Félix Mangini à son père à propos des affaires, de Félix qui a hâte d'y participer aux côtés de Lucien et de son père, de l'emplacement de l'habitation, du mariage de Marie, du travail au laboratoire de chimie",,1858-04-08,3933,,3935,,,B13.1.1,,,,,,,,,,Correspondance,https://sws.geonames.org/2988507/ Paris,
rico:RecordSet,B13.1.2,Sous-dossier d'archives,,"Lettres de Louise Mangini, née Rolland à sa famille (env.1870)",1859/1900,,,,,,,B13.1,,,,,,,,,,,,
rico:Record,B13.1.2/1,,,"Lettre de Louise Mangini, née Rolland à Félix à propos du fait qu’elle ne peut pas aller le voir à Lyon, donne des nouvelles de diverses personnes",1870-11-05/1871-11-05,,3934,,3935,,,B13.1.2,,,,,,,,,,Correspondance,,
rico:Record,B13.1.2/10,,,"Lettre de Louise Mangini, née Rolland à Paula à propos du fait que Louise a un mal de pied, attente du « traité désastreux » avec « nos implacable ennemis »",1870/1871,,3934,,3952,,,B13.1.2,,,,,,,,,,Correspondance,,
rico:Record,B13.1.2/11,,,"Lettre de Louise Mangini, née Rolland à Félix donnant des nouvelles de Varagnes où se trouve Paula, Félicite et son bébé, du fait qu’elle est au bain avec Henri et Marie",,,3934,,3933,,,B13.1.2,,,,,,,,,,Correspondance,,
rico:Record,B13.1.2/12,,,"Lettre de Louise Mangini, née Rolland à son mari à propos du mauvais état de la famille et du fait qu’il est à Évian",,,3934,,3935,,,B13.1.2,,,,,,,,,,Correspondance,https://sws.geonames.org/2979986/ Saint-Genis-l'Argentière,
rico:Record,B13.1.2/13,,,"Lettre de Louise Mangini, née Rolland à son mari à propos du fait qu’elle s’inquiète pour la santé de son mari, sa santé à elle va bien grâce à ses bains et à l’air de la campagne",,,3934,,3935,,,B13.1.2,,,,,,,,,,Correspondance,https://sws.geonames.org/2979986/ Saint-Genis-l'Argentière,
rico:Record,B13.1.2/14,,,"Lettre de Louise Mangini, née Rolland à son mari donnant des nouvelles de la famille",,,3934,,3935,,,B13.1.2,,,,,,,,,,Correspondance,https://sws.geonames.org/2979986/ Saint-Genis-l'Argentière,
rico:Record,B13.1.2/15,,,"Lettre de Louise Mangini, née Rolland à Félix à propos du fait que Lucien n’est pas encore arrivé, que Félicie a mal aux dents",,,3934,,3933,,,B13.1.2,,,,,,,,,,Correspondance,https://sws.geonames.org/3021411/ Dieppe,
rico:Record,B13.1.2/16,,,"Lettre de Louise Mangini, née Rolland à Paula donnant des nouvelles de Félix",,,3934,,3952,,,B13.1.2,,,,,,,,,,Correspondance,,
rico:Record,B13.1.2/17,,,"Lettre de Louise Mangini, née Rolland à propos de leur petite",,,3934,,3935,,,B13.1.2,,,,,,,,,,Correspondance,https://sws.geonames.org/2979986/ Saint-Genis-l'Argentière,
rico:Record,B13.1.2/18,,,"Lettre de Louise Mangini, née Rolland à propos de leur petite",,,3934,,3935,,,B13.1.2,,,,,,,,,,Correspondance,https://sws.geonames.org/2979986/ Saint-Genis-l'Argentière,
