o:id,o:resource_template,o:resource_class,o:owner,o:is_public,dcterms:title,dcterms:type,dcterms:identifier,dcterms:created,dcterms:isPartOf,dcterms:dateSubmitted,rdfs:comment,crm:P15_was_influenced_by,crm:P43_has_dimension,crm:P44_has_condition,crm:P62_depicts,crm:P65_shows_visual_item,crm:P94i_was_created_by,rico:documentedBy,rico:hasOrHadPhysicalLocation,rico:hasOrHadSubject,rico:isOrWasIncludedIn,rico:descriptiveNote,rico:measure,schema:material
25546,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Table,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-53 menuiserie,IMVRG00240,1895/1905,,2021-09-24,,,,Bon état. Il manque le tiroir,,,,,Maison [cabinet de physique],,25281,,"67 cm (hauteur) x 90,5 cm (largeur) x 57 cm (profondeur)",bois: merisier
25545,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Table pupitre avec encrier,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-53 menuiserie,IMVRG00239,1895/1905,,2021-09-24,,,,Bon état,,,,,Maison [cabinet de physique],,25281,,"81 cm (hauteur) x 70 cm (largeur) x 52,5 cm (profondeur)",bois: peint | faïence
25544,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Table,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-53 menuiserie,IMVRG00238,1895/1905,,2021-09-24,,,,Bon état. Manque tiroir de façade,,,,,Maison [cabinet de physique],,25281,,"47,5 cm (hauteur) x 75 cm (largeur) x 55,5 cm (profondeur)",bois: ciré
25543,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Paire de petits bancs,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-53 menuiserie,IMVRG00237,1895/1905,,2021-09-24,,,,État passable. Usures d'usage,,,,,Maison [cabinet de physique],,25281,,45 cm (hauteur) x 60 cm (largeur) x 26 cm (profondeur),bois | cuir
25542,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Ensemble de 2 armoires-bibliothèque,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-53 menuiserie,IMVRG00236,1895/1905,,2021-09-24,,,"armoire droite, buffet ; vitrine : 199 cm (hauteur) x 423 cm (largeur) x 40,5 cm (profondeur) ; armoire gauche : buffet : 90 cm (hauteur) x 323 cm (largeur) x 70 cm (profondeur); vitrine : 200 cm (hauteur) x 320 cm (largeur) x 50 cm (profondeur)",Bon état,,,,,Maison [cabinet de physique],,25281,,"91,5 cm (hauteur) x 427 cm (largeur) x 61,3 cm (profondeur)",bois: conifère | verre
25541,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Table ronde,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-53 menuiserie | http://data.culture.fr/thesaurus/resource/ark:/67717/T262-32 ferronnerie,IMVRG00235,1895/1905,,2021-09-24,,,,Bon état,,,,,Maison [cabinet de physique],,25281,,"72,5 cm (hauteur) x 50 cm (largeur)",bois | fer: forgé
25540,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,"2 bustes : jeune fille, jeune garçon",http://data.culture.fr/thesaurus/resource/ark:/67717/T262-68 sculpture,IMVRG00234,1895/1905,,2021-09-24,,,"jeune fille ; jeune homme : 26 cm (hauteur) x 18 cm (largeur) x 25 cm (profondeur); caisse jeune fille : 68,5 cm (hauteur) ; 36 cm (largeur) x 34 cm (profondeur); caisse jeune homme : 85 cm (hauteur) x 52,5 cm (largeur) ; 30,5 cm (profondeur)","En péril. Jeune fille : ne reste que la tête, dont le cou présente des altérations importantes ; la base du buste a totalement disparu.
jeune garçon : il ne reste que la tête, le bout du nez est manquant ; la chute de la terre à partir du cou laisse apparaître le support en métal et en bois sur lequel a été modelée la sculpture",enfant,portrait d'une jeune fille et d'un jeune garçon,3955,,Maison [accès observatoire palier],,25294,,29 cm (hauteur) x 18 cm (largeur) x 22 cm (profondeur),terre: modelée
25539,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Chaise Louis XIII,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-53 menuiserie,IMVRG00233,1875/1900,,2021-09-24,,,,Défectueux. La toile enduite est déchirée et aux trois-quarts défaite ; les lanières de toile sont totalement détendues et leur assemblage affaibli et défectueux,,,,,Maison [salle pédagogique],,25281,,95 cm (hauteur) x 48 cm (largeur) x 45 cm (profondeur),"bois: tourné, vernis | cuir"
25538,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Tableau noir,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-53 menuiserie,IMVRG00232,1875/1900,,2021-09-24,,,,État passable. Manque la baguette inférieure du cadre,,,,,Maison [salle pédagogique],,25283,,"85 cm (hauteur) x 110,5 cm (largeur) x 3 cm (profondeur)","bois: taillé, peint | ardoise"
25537,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Ensemble de 2 tables pupitre,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-53 menuiserie,IMVRG00231,1895/1905,,2021-09-24,,,"n° 2 : 86 cm (hauteur) x 121 cm (largeur) x 75,5 cm (profondeur)",Bon état,,,,,Maison [salle pédagogique],,25281,,"81 cm (hauteur) x 110 cm (largeur) x 71,5 cm (profondeur)",bois: peint
25536,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Instrument de mesure : support de nuque,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-53 menuiserie,IMVRG00230,1895/1905,,2021-09-24,"Cet objet devait être utilisé pour aider le modèle à rester immobile, notamment lors de prises de vue à pause longue",,potence : 49 cm (hauteur) x 24 cm (largeur) x 12 cm (profondeur),Bon état,,,,,Maison [salle pédagogique],,25282,,50 cm (hauteur) x 36 cm (largeur) x 13 cm (profondeur),bois: tourné
25535,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Ensemble de 7 trépieds pour instrument de mesure,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-53 menuiserie,IMVRG00229,1875/1900,,2021-09-24,,,n° 1 ; n° 2 : 80 cm (hauteur) x 22 cm (largeur); n° 3 : 60 cm (hauteur) x 15 cm (largeur); n° 4 : 64 cm (hauteur) x 11 cm (largeur); n° 5 : 67 cm (hauteur) x 12 cm (largeur); n° 6 : 60 cm (hauteur) x 12 cm (largeur); n° 7 : 50 cm (hauteur) x 8 cm (largeur),État passable,,,,,Maison [salle pédagogique],,25282,,61 cm (hauteur) x 15 cm (largeur),bois | métal
25534,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Instrument de démonstration en acoustique : machine à enregistrer à la voix,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-134 acoustique,IMVRG00228,1901/1925,,2021-09-24,,,,Bon état,,,,,Maison [salle pédagogique],,25283,,28 cm (hauteur) x 40 cm (largeur) x 24 cm (profondeur),bois | cuivre | métal
25533,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Instrument de démonstration en acoustique : diaphragme Pathé,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-134 acoustique,IMVRG00227,1901/1925,,2021-09-24,"Il s'agit du modèle ""Coq enregistreur"" proposé par la marque (source : https://aba-phonographe.blogspot.com/p/diaphragmes-pathe.html)",,boîte ; enregistreur : 8 cm (hauteur). Diamètre: 4 cm,État passable,animal,coq,http://viaf.org/viaf/128940397 Pathé Frères,,Maison [salle pédagogique],,25283,ENREGISTREUR / BREVETE SGDG FRANCE & ETRANGER,4 cm (hauteur). Diamètre: 8 cm,carton: bouilli | soie: velours (boîte) | matière plastique
25532,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Instrument de démonstration en acoustique : porte-voix coudé marque Brown,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-134 acoustique,IMVRG00226,1901/1925,,2021-09-24,,,,Bon état,,,,,Maison [salle pédagogique],,25283,Sur la lèvre du pavillon : BROWN,30 cm (hauteur) x 46 cm (largeur) x 41 cm (profondeur),zinc
25531,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Instrument de démonstration en acoustique : porte-voix coudé,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-134 acoustique,IMVRG00225,1901/1925,,2021-09-24,,,,Bon état,,,,,Maison [salle pédagogique],,25283,,"32 cm (hauteur). Diamètre: 12,5 cm",zinc
25530,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Instrument de démonstration en acoustique : porte-voix (6),http://data.culture.fr/thesaurus/resource/ark:/67717/T262-134 acoustique,IMVRG00224,1901/1925,,2021-09-24,,,"n° 1 ; n° 2 (3 exemplaires) : 31 cm (hauteur). Diamètre: 16 cm . Diamètre: 2 cm ; n° 3 : 34 cm (hauteur). Diamètre: 26 cm ; n° 4 : 50 cm (hauteur). Diamètre: 22,5 cm",Bon état,,,,,Maison [salle pédagogique],,25283,,"30 cm (hauteur). Diamètre: 13,5 cm. Diamètre: 2,5 cm",zinc
25529,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Instrument de démonstration en acoustique : porte-voix,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-134 acoustique,IMVRG00223,1901/1925,,2021-09-24,,,,État passable. Assemblage défectueux,,,,,Maison [salle pédagogique],,25283,,"45,5 cm (hauteur) x 11 cm (largeur) x 2,5 cm (profondeur)",bois
25528,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Instrument d'enregistrement : graphophone,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-53 menuiserie,IMVRG00222,1901/1925,,2021-09-24,"Selon le site www.radiomuseum.org, la société American Graphophone Company a été créée le 22 juin 1887 pour occuper le marché des machines à enregistrer, par les deux compagnies American Graphophone Company et Edison Phonograph Company.
Selon le site www.wikizero.com, ""le Graphophone est le nom et la marque déposée d'une version améliorée du phonographe. Il fut développé par Charles Sumner Tainter (1854-1940) au Volta Laboratory fondé par Alexander Graham Bell à Waghington D.C. Il est la première machine à dicter. L'usage de la marque fut la propriété successive de la Volta Graphophone Company, puis de l'American Graphophone Company, de la North American Phonograph Company et enfin de la Columbia Phonograph Company (qui devient plus tard Columbia Records), qui toutes produisirent ou vendirent des Graphophones.""
Le modèle présenté ici semble correspondre à celui figurant sur la gravure publiée sur ce site : il s'agit du modèle commercialisé en France en 1901",,,Bon état,,,http://viaf.org/viaf/308705821 American Graphophone Company,,Maison [salle pédagogique],,25283,"Étiquette : REGISTRED / GRAPHOPHONE / PETENTED / MANUFACTURED BY THE / AMERICAN GRAPHOPHONE / COMPANY / TYPE A OF NO 56481 / WASHINGTON DC
Sur la face : THE GRAPHOPHONE PATENTED / AMERICAN GRAPHOPHONE CIE N° 910 PENN AVE WASHINGTON DC
Sur la machine : GRAPHOPHONE",34 cm (hauteur) x 30 cm (largeur) x 19 cm (profondeur),bois | métal
25527,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Instrument d'enregistrement : support pour enregistrements sonores sur cylindres,http://data.culture.fr/thesaurus/resource/ark:/67717/T96-914 cartonnerie,IMVRG00221,1875/1900,,2021-09-24,,,,État passable,,,,,Maison [salle pédagogique],,25283,,22 cm (hauteur) x 34 cm (largeur) x 25 cm (profondeur),carton: bouilli
25526,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Objet de représentation d'un organisme vivant : écorché d'homme,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-117 zoologie,IMVRG00220,1875/1900,,2021-09-24,"Le docteur Louis Auzoux s'est fait remarquer par sa technique révolutionnaire de reproduction de modèles anatomiques démontables en papier mâché, dès 1822 (prototype d'une ""pièce artificielle représentant le pied, la jambe et une partie du bassin de l'Homme"". Sa société (usine fondée en 1828 à Saint-Aubin-d'Ecrosville, Eure, en fonctionnement jusqu'en 2000) a produit également des planches d'anatomie comparée à partir de squelettes d'animaux. On trouve de nombreux exemplaires de ses créations anatomiques dans les lycées de la région Auvergne-Rhône-Alpes (entre autres lieux). La fabrication d’un modèle de 100 pièces nécessitait 6 mois, 50 personnes étaient employées à la tâche jusqu’à l’arrivée de la résine synthétique dans les années 1980",,caisse ; écorché : 117 cm (hauteur) x 31 cm (largeur) x 22 cm (profondeur),État passable,,,http://viaf.org/viaf/62332373 Louis Auzoux,20871,Maison [salle pédagogique],,25283,,31 cm (hauteur) x 128 cm (largeur) x 38 cm (profondeur),"papier: mâché, moulé, peint"
25525,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Objet de représentation d'un organisme vivant : squelette humain,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-117 zoologie,IMVRG00219,1875/1900,,2021-09-24,"À la fin du 19e siècle, la maison Tramond, spécialisée dans la fabrication de cires anatomiques et la préparation de pièces ostéologiques, est installée à Paris, 9 rue de l’École de Médecine, vers le milieu du 19e siècle (LE MINOR, J.-M., PUYGRENIER, J., 1989, p. 133).
L'étiquette d'envoi encore en place mentionne comme expéditeur : ""Pompeien 76 cours de la Libération"", à destination de M. Jules Seguin, par la gare de Boulieu",,caisse ; squelette : 179 cm (hauteur) x 40 cm (largeur) x 28 cm (profondeur),État passable,,squelette,http://viaf.org/viaf/108157340708709921437 Maison Tramond,,Maison [salle pédagogique],,25283,,38 cm (hauteur) x 187 cm (largeur) x 47 cm (profondeur),bois | os | acier
25524,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Armoire-bibliothèque n° 2,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-53 menuiserie,IMVRG00218,1875/1900,,2021-09-24,,,buffet  ; vitrine : h sous corniche = 187 ; 235 cm (largeur) x 28 cm (profondeur),Bon état,,,,,Maison [salle pédagogique],,25281,,"81,5 cm (hauteur) x 240,5 cm (largeur) x 42,5 cm (profondeur)","bois: merisier, peint | verre"
25523,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Armoire-bibliothèque n° 1,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-53 menuiserie,IMVRG00217,1875/1900,,2021-09-24,,,buffet  ; vitrine : h sous corniche = 184 ; 230 cm (largeur) x 37 cm (profondeur),Bon état,,,,,Maison [salle pédagogique],,25281,,100 cm (hauteur) x 234 cm (largeur) x 58 cm (profondeur),bois | verre
25522,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Table à dessiner ou à expérience,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-53 menuiserie,IMVRG00216,1875/1900,,2021-09-24,,,,Bon état,,,,,Maison [salle pédagogique],,25281,,105 cm (hauteur) x 100 cm (largeur) x 45 cm (profondeur),"bois: merisier, tourné, taillé, vernis"
25521,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Décor de théâtre n° 4,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-63 peinture,IMVRG00215,1875/1900,,2021-09-24,,,n° 1 ; panneau n° 2 : 107 cm (largeur); panneau n° 3 : 129 cm (largeur); panneau n° 4 : 140 cm (largeur),Défectueux. Mauvaises conditions de conservation ; perforations ; déformations ; encrassement ; poussière,,sous-bois,3926,,Maison [garage],,25288,,280 cm (hauteur) x 119 cm (largeur) x 5 cm (profondeur),peinture à l'eau sur toile
25520,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Décor de théâtre n° 3 (salle à 2 armures),http://data.culture.fr/thesaurus/resource/ark:/67717/T262-63 peinture,IMVRG00214,1875/1900,,2021-09-24,,,n° 1 et n° 2 ; panneau n° 3 : 78 cm (largeur); panneau n° 4 : 79 cm (largeur),Défectueux. Mauvaises conditions de conservation ; perforations ; déformations ; encrassement ; poussière,,intérieur de château,3926,,Maison [garage],,25288,,280 cm (hauteur) x 100 cm (largeur) x 2 cm (profondeur),peinture à l'eau sur papier
25519,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Décor de théâtre n° 2,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-63 peinture,IMVRG00213,1875/1900,,2021-09-24,,,,Défectueux. Mauvaises conditions de conservation ; perforations ; déformations ; encrassement ; poussière,,intérieur de château,3926,,Maison [garage],,25288,,280 cm (hauteur) x 485 cm (largeur) x 2 cm (profondeur),peinture à l'eau sur papier
25518,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Décor de théâtre n° 1,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-63 peinture,IMVRG00212,1875/1900,,2021-09-24,Décors entièrement conçus et fabriqués par A. Seguin et ses filles,,,En péril. Mauvaises conditions de conservation ; déchirure verticale sur 200 cm ; perforations ; déformations ; encrassement ; poussière,,allée de sous bois,3926,,Maison [garage],,25288,,280 cm (hauteur) x 485 cm (largeur) x 2 cm (profondeur),peinture à l'eau sur toile
25517,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Jacques-Étienne et Joseph Montgolfier,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-68 sculpture,IMVRG00211,1875/1900,,2021-09-24,,,Jacques-Étienne ; Joseph : 65 cm (hauteur) x 36 cm (largeur) x 20 cm (profondeur),Bon état,personnage célèbre,Jacques-Étienne Montgolfier | Joseph Montgolfier,,,Maison [bibliothèque scientifique ; salle pédagogique],,25296,,64 cm (hauteur) x 36 cm (largeur) x 32 cm (profondeur),"plâtre: moulé, peint"
