o:id,o:resource_template,o:resource_class,o:owner,o:is_public,dcterms:title,dcterms:identifier,dcterms:alternative,owl:sameAs,rdaa:P50037,rdaa:P50026,rdaa:P50012,rdaa:P50029,rdaa:P50013,rdaa:P50232,rdaa:P50011,rdaa:P50229,rdaa:P50014,rdaa:P50236,rdaa:P50016,rdaa:P50284,modsci:isManufacturerOf,rico:documentedBy,rico:hasOrHadCorporateBodyType,rico:isOrWasSubjectOf
3988,Référentiel des entreprises et sociétés,rico:CorporateBody,thomas.chaineux@chartes.psl.eu,true,Compagnies des Fonderies et Forges de l’Horme,REFSOC0014,,,1847-07-02,,,,3989,,3987,,,1847-07-02/1877,,,,,,
3987,Référentiel des entreprises et sociétés,rico:CorporateBody,thomas.chaineux@chartes.psl.eu,true,Société anonyme des Chantiers de la Buire,REFSOC0002,,,1866,,Ateliers Jules Frossard et Cie,3933 | 3936,3989,,3988,,,1866/1877,,3955,,17184 | 17182 | 17071 | 17070 | 17069 | 17015 | 16983 | 16942 | 16698 | 16697 | 16218 | 17268 | 17265 | 17260 | 17256 | 17252 | 17222 | 17213 | 17212 | 18797,http://ark.bnf.fr/ark:/12148/cb119582998 Usines,
3986,Référentiel des entreprises et sociétés,rico:CorporateBody,thomas.chaineux@chartes.psl.eu,true,Compagnies des Dombes et des Chemins de Fer du Sud-Est,REFSOC0015,,,1869-09-25,,3985,,,,,,3991,1869/1897,,,,17062,,
3985,Référentiel des entreprises et sociétés,rico:CorporateBody,thomas.chaineux@chartes.psl.eu,true,Compagnie de la Dombes,REFSOC0016,,https://www.wikidata.org/wiki/Q2989880 Compagnie de la Dombes,1864-09-02,,,3933 | 3936,,,,,,1864-09-02/1872-05-07,3986,,,17065 | 17057 | 16613 | 17285,,
3984,Référentiel des entreprises et sociétés,rico:CorporateBody,thomas.chaineux@chartes.psl.eu,true,Compagnies des Mines de la Péronnière,REFSOC0017,,https://www.wikidata.org/wiki/Q107262700 Compagnie des Mines de la Péronnière,1887-05-02,,,,,,,,3989,,,,,17122 | 17121 | 17120 | 17119 | 17118 | 17117 | 17116 | 17115 | 17113 | 17112 | 17111 | 17110 | 17109 | 17108 | 17107 | 17106 | 17105 | 17104 | 17103 | 17102 | 17101 | 16983 | 17241,http://data.bnf.fr/ark:/12148/cb11944497z Industries minières,
3983,Référentiel des entreprises et sociétés,rico:CorporateBody,thomas.chaineux@chartes.psl.eu,true,Canson et Montgolfier,REFSOC0003,,,1801,,Papeterie Royale de Vidalon,,,,,,,,,,,18490 | 18489 | 18487 | 18486 | 18485 | 18484 | 18483 | 18474 | 18465,http://ark.bnf.fr/ark:/12148/cb11952103p Papeteries (usines),
3982,Référentiel des entreprises et sociétés,rico:CorporateBody,thomas.chaineux@chartes.psl.eu,true,Papeteries de Vidalon,REFSOC0018,,,,3919 | 3941 | 3942 | 3939,,,,,,,,,,,,17389 | 17388 | 17387 | 17386 | 17385 | 17384 | 17383 | 17382 | 17381 | 17380 | 17379 | 17378 | 17377 | 17375 | 17374 | 17373 | 17372 | 17371 | 17370 | 17369 | 17368 | 17367 | 17366 | 17365 | 17364 | 17363 | 17362 | 17361 | 17360 | 17359 | 17357 | 17356 | 17354 | 17353 | 17352 | 17350 | 17349 | 17348 | 17347 | 17344 | 17343 | 17342 | 17340 | 17339 | 17338 | 17336 | 17335 | 17333 | 17332 | 17331 | 17330 | 17329 | 17328 | 17327 | 17326 | 17325 | 17324 | 17323 | 17322 | 17321 | 17320 | 17319 | 17318 | 17317 | 17316 | 17315 | 17314 | 17313 | 17312 | 17311 | 17310 | 17307 | 18480 | 18479 | 18478 | 18476 | 18475 | 18472 | 18471 | 18470 | 18469 | 18468 | 18467 | 18466 | 18464 | 18463 | 18462 | 18461 | 18434,http://ark.bnf.fr/ark:/12148/cb11952103p Papeteries (usines),
3981,Référentiel des entreprises et sociétés,rico:CorporateBody,thomas.chaineux@chartes.psl.eu,true,Société du chemin de fer de Saint-Étienne à Lyon,REFSOC0020,,http://viaf.org/viaf/145897452 Compagnie du chemin de fer de Saint-Étienne à Lyon | http://ark.bnf.fr/ark:/12148/cb10753304b Compagnie du chemin de fer de Saint-Étienne à Lyon,1827-03-07,,,https://www.wikidata.org/wiki/Q274233 Edouard Biot | https://www.wikidata.org/wiki/Q58328 Jean-Baptiste Biot | 3970 | 3969 | 3967 | 3966,https://www.wikidata.org/wiki/Q2989935 Compagnie des chemins de fer de jonction du Rhône à la Loire,,https://www.wikidata.org/wiki/Q17355264 Compagnie du chemin de fer de Saint-Étienne à la Loire | https://www.wikidata.org/wiki/Q16542935 Compagnie du chemin de fer de la Loire,,,1827-03-07/1853-09-30,,,,17620 | 19612 | 19610 | 19608 | 19606 | 19604 | 19602 | 19600 | 19598 | 19596 | 19595 | 19594 | 19593 | 19592 | 19591 | 19590 | 19589 | 19588 | 19587 | 19586 | 19585 | 19578 | 19571 | 19568 | 19567 | 19566 | 19557 | 19549 | 19548 | 19547 | 19546 | 19545 | 19544 | 19543 | 19541 | 19540 | 19539 | 19537 | 19535 | 19526 | 19525 | 19522 | 19520 | 19518 | 19516 | 19445 | 19439 | 19435,https://data.bnf.fr/ark:/12148/cb119815693 Compagnies de chemin de fer,
3980,Référentiel des entreprises et sociétés,rico:CorporateBody,thomas.chaineux@chartes.psl.eu,true,Seguin Frères,REFSOC0019,,,1831,,3979,3969 | 3967 | 3966,,,,,,1831/1860,Société générale des ponts à péage,,,18286,,
3979,Référentiel des entreprises et sociétés,rico:CorporateBody,thomas.chaineux@chartes.psl.eu,true,Seguin et Cie,REFSOC0021,,,,3970 | 3969 | 3967 | 3966,,3971,,,,,,1792/1831,3980,,,,,
3978,Référentiel des entreprises et sociétés,rico:Group,thomas.chaineux@chartes.psl.eu,true,Académie des Sciences,REFSOC0022,,http://viaf.org/viaf/262517779 Académie des sciences | https://www.wikidata.org/wiki/Q188771 Académie des sciences | http://ark.bnf.fr/ark:/12148/cb11862135b Académie des sciences (France),1666-12-22,,,"http://viaf.org/viaf/59175183 Colbert, Jean-Baptiste",,,,,,,,,,16928 | 18168 | 18167 | 18166 | 18165 | 18164 | 18142 | 18083 | 18031 | 18029 | 17941 | 17840 | 17839 | 17837 | 17823 | 17819 | 17817 | 17814 | 17813 | 17812 | 17811 | 18262 | 18261 | 18260 | 18259 | 18258 | 18257 | 18256 | 18244,http://ark.bnf.fr/ark:/12148/cb119458948 Sociétés savantes et instituts,
3977,Référentiel des entreprises et sociétés,rico:CorporateBody,thomas.chaineux@chartes.psl.eu,true,Société Générale,REFSOC0023,,https://www.wikidata.org/wiki/Q270363 Société Générale | http://ark.bnf.fr/ark:/12148/cb11868610t Société générale | http://viaf.org/viaf/126113318 Société Générale,1864-05-04,,,,,,,,,,,,,17150 | 17145 | 17141 | 17140 | 17217,http://ark.bnf.fr/ark:/12148/cb119759438 Banques,
3976,Référentiel des entreprises et sociétés,rico:CorporateBody,thomas.chaineux@chartes.psl.eu,true,Gnome,REFSOC0024,,,1905,,,3932 | 3972,3975,,https://www.wikidata.org/wiki/Q17098426 Le Rhône,,,1905/1915,,,,17691 | 17674 | 17667 | 17666 | 17662 | 17651 | 17626 | 17621 | 17610 | 17607 | 17592 | 17590 | 17589,,
3975,Référentiel des entreprises et sociétés,rico:CorporateBody,thomas.chaineux@chartes.psl.eu,true,Gnome et Rhône,REFSOC0025,Société des moteurs Gnome et Rhône,http://ark.bnf.fr/ark:/12148/cb10158323s Société des moteurs Gnome et Rhône | https://www.wikidata.org/wiki/Q1533321  Gnome et Rhône | http://viaf.org/viaf/296196800 Société des moteurs Gnome et Rhône,1915-01-12,,,https://www.wikidata.org/wiki/Q34036816 Louis Verdet | 3932 | 3972,,https://www.wikidata.org/wiki/Q17098426 Le Rhône | 3976,,,,1915-01-12/1945-05-29,https://www.wikidata.org/wiki/Q1886126 Safran,,4698 | 4689,,,
3974,Référentiel des entreprises et sociétés,rico:CorporateBody,thomas.chaineux@chartes.psl.eu,true,Fabrique de feutre,REFSOC0026,,,,,,,,,,,,,,,,18625,http://ark.bnf.fr/ark:/12148/cb119582998 Usines,
3973,Référentiel des entreprises et sociétés,rico:Group,thomas.chaineux@chartes.psl.eu,true,Corps des Ponts et Chaussées,REFSOC0027,,http://ark.bnf.fr/ark:/12148/cb120118274.public Ingénieurs des ponts et chaussées,1716-02-04,,,,,,,,,1716-02-04/2009,"http://ark.bnf.fr/ark:/12148/cb12649556g.public Ingénieurs du génie rural, des eaux et forêts",,,,http://ark.bnf.fr/ark:/12148/cb119522854.public Fonction publique -- Emplois -- Classification,17844 | 17827 | 17809 | 17263 | 19148 | 19137 | 19136 | 19134 | 19512 | 19408
